Code,Industry Title,Count *
11,"Agriculture, Forestry, Fishing and Hunting","433,883"
21,Mining,"34,461"
22,Utilities,"34,839"
23,Construction,"1,435,430"
31-33,Manufacturing,"652,353"
42,Wholesale Trade,"744,139"
44-45,Retail Trade,"1,744,920"
48-49,Transportation and Warehousing,"508,378"
51,Information,"333,231"
52,Finance and Insurance,"734,720"
53,Real Estate Rental and Leasing,"788,288"
54,"Professional, Scientific, and Technical Services","2,238,785"
55,Management of Companies and Enterprises,"60,068"
56,Administrative and Support and Waste Management and Remediation Services,"2,593,912"
61,Educational Services,"407,541"
62,Health Care and Social Assistance,"1,456,809"
71,"Arts, Entertainment, and Recreation","310,018"
72,Accommodation and Food Services,"815,095"
81,Other Services (except Public Administration),"1,775,590"
92,Public Administration,"290,120"
