Codes,Titles,Number of US Businesses
61,Educational Services,"407,541"
611110,Elementary and Secondary Schools,"215,661"
611210,Junior Colleges,"4,786"
611310,"Colleges, Universities, and Professional Schools","34,177"
611410,Business and Secretarial Schools,"1,294"
611420,Computer Training,"3,876"
611430,Professional and Management Development Training,292
611511,Cosmetology and Barber Schools,"2,937"
611512,Flight Training,"1,359"
611513,Apprenticeship Training,463
611519,Other Technical and Trade Schools,"9,489"
611610,Fine Arts Schools,"26,802"
611620,Sports and Recreation Instruction,"37,329"
611630,Language Schools,"1,524"
611691,Exam Preparation and Tutoring,"5,455"
611692,Automobile Driving Schools,"4,832"
611699,All Other Miscellaneous Schools and Instruction,"46,879"
611710,Educational Support Services,"10,386"
